Industry,Name,Post-nominal,Agency or comments,
Accounting and finance,Certificate in Investment Performance Measurement[1],CIPM,CFA Institute,
Accounting and finance,Chartered Financial Analyst[2],CFA,,
Accounting and finance,Chartered Business Valuator[3],CBV,CBV Institute,
Accounting and finance,Chartered Market Technician[4],CMT,Market Technicians Association,
Accounting and finance,Chartered Alternative Investment Analyst,CAIA,Chartered Alternative Investment Analyst Association,
Accounting and finance,Chartered Management Consultant,ChMC,Chartered Institute of Management Consultants,
Accounting and finance,Chartered Global Management Accountant,CGMA,American Institute of CPAs and Chartered Institute of Management Accountants,
Accounting and finance,Certified Accounts Payable Associate,CAPA,The Institute of Financial Operations,
Accounting and finance,Certified Accounts Payable Professional,CAPP,,
Accounting and finance,Certified Public Accountant,CPA,American Institute of CPAs and Chartered Institute of Management Accountants,
Accounting and finance,Certified Internal Control Specialist,CICS,Internal Control Institute,
Accounting and finance,Certified Internal Control Professional,CICP,Internal Control Institute,
Accounting and finance,Certified Financial Planner,CFP,Certified Financial Planner Board of Standards,
Accounting and finance,Certified Divorce Financial Analyst,CDFA,Institute for Divorce Financial Analysts,
Accounting and finance,Certified Anti-Money Laundering Specialist,CAMS,Association of Certified Anti-Money Laundering Specialists,
Accounting and finance,Certified Financial Consultant,CFC,Institute of Financial Consultants,
Accounting and finance,Certified Credit Union Financial Counselor,CCUFC,Credit Union National Association,
Accounting and finance,Chartered Life Underwriter,CLU,American College of Financial Services,
Accounting and finance,Certified Fraud Examiner,CFE,Association of Certified Fraud Examiners,
Accounting and finance,Certified Internal Auditor,CIA,Institute of Internal Auditors,
Accounting and finance,Certification in Risk Management Assurance,CRMA,,
Accounting and finance,Certified Government Auditing Professional,CGAP,,
Accounting and finance,Certified Payroll Professional,CPP,American Payroll Association,
Accounting and finance,Fundamental Payroll Certification,FPC,,
Accounting and finance,Certified California Municipal Treasurer,CCMT,California Municipal Treasurers Association,
Accounting and finance,Certified Government Financial Manager,CGFM,Association of Government Accountants,
Accounting and finance,Certified Government Finance Officer,CGFO,Government Finance Officers Association of Texas,
Accounting and finance,Certified Management Accountant,CMA,Institute of Management Accountants,
Accounting and finance,Certified Municipal Finance Officer[5],CMFO,Tennessee Comptroller of the Treasury,
Accounting and finance,Certified Public Finance Administrator,CPFA,Association of Public Treasurers of the United States and Canada,
Accounting and finance,Certified Public Finance Officer,CPFO,Government Finance Officers Association,
Accounting and finance,Chartered Property Casualty Underwriter,CPCU,American Institute For Chartered Property Casualty Underwriters,
Accounting and finance,Certified Defense Financial Manager,CDFM,American Society of Military Comptrollers,
Accounting and finance,Communication Management Professional,CMP,Global Communication Certification Council,
Accounting and finance,Registered Tax Return Preparer,RTRP,Internal Revenue Service,
Accounting and finance,Enrolled Agent,EA,,
Accounting and finance,Fraternal Insurance Counselor Fellow,FICF,National Association of Fraternal Insurance Counselors,
Accounting and finance,Fraternal Insurance Counselor,FIC,,
Accounting and finance,Certified Corporate FP&A Professional[6],FP&A,Association for Financial Professionals,
Accounting and finance,ISSP Sustainability,,,
Accounting and finance,Certified Treasury Professional[7],CTP,,
Accounting and finance,Certified Trust and Financial Advisor,CTFA,American Bankers Association,
Accounting and finance,Certified Turnaround Professional[8],CTP,Turnaround Management Association,
Accounting and finance,Registered Financial Planner[9],RFP,Registered Financial Planners Institute,
Accounting and finance,Financial Risk Manager,FRM,Global Association of Risk Professionals,
Accounting and finance,Professional Risk Manager,PRM,Professional Risk Managers' International Association,
Accounting and finance,Strategic Communication Management Professional,SCMP,Global Communication Certification Council,
Accounting and finance,Licensed Public Accountant,LPA,State Board of Accountancy,
Accounting and finance,Accredited Business Accountant/Advisor,ABA,Accreditation Council for Accountancy and Taxation,
Accounting and finance,Investment Adviser Certified Compliance Professional,IACCP,Investment Adviser Association and National Regulatory Services,
Actuarial,Associate of the Society of Actuaries,ASA,Society of Actuaries,
Actuarial,Fellow of the Society of Actuaries,FSA,Society of Actuaries,
Actuarial,Chartered Enterprise Risk Analyst,CERA,Society of Actuaries,
Actuarial,Associate of the Casualty Actuarial Society,ACAS,Casualty Actuarial Society,
Actuarial,Fellow of the Casualty Actuarial Society,FCAS,Casualty Actuarial Society,
Actuarial,Member of the American Academy of Actuaries,MAAA,American Academy of Actuaries,
Actuarial,Associate of the Conference of Consulting Actuaries,ACA,Conference of Consulting Actuaries,
Actuarial,Fellow of the Conference of Consulting Actuaries,FCA,Conference of Consulting Actuaries,
Actuarial,Enrolled Actuary,EA,Joint Board for the Enrollment of Actuaries,
"Architecture, interior design, landscape architecture and planning",Registered Architect,RA,state licensing board,
"Architecture, interior design, landscape architecture and planning",Professional Landscape Architect,PLA,state licensing board,
"Architecture, interior design, landscape architecture and planning",Professional Planner,PP,state licensing board (NJ[10]),
"Architecture, interior design, landscape architecture and planning",Registered Interior Designer,RID,state licensing board,
"Architecture, interior design, landscape architecture and planning",National Council of Architectural Registration Boards Certified,NCARB,National Council of Architectural Registration Boards,
"Architecture, interior design, landscape architecture and planning",National Council for Interior Design Qualification Certified,NCIDQ,National Council for Interior Design Qualification,
"Architecture, interior design, landscape architecture and planning",Association of Licensed Architects Member,ALA,Association of Licensed Architects,
"Architecture, interior design, landscape architecture and planning",Association of Licensed Architects Fellow,FALA,Association of Licensed Architects,
"Architecture, interior design, landscape architecture and planning",American Institute of Architects Member,AIA,American Institute of Architects,
"Architecture, interior design, landscape architecture and planning",American College of Healthcare Architects,ACHA,American College of Healthcare Architects,
"Architecture, interior design, landscape architecture and planning",American College of Healthcare Architects Fellow,FACHA,American College of Healthcare Architects,
"Architecture, interior design, landscape architecture and planning",American Institute of Architects Fellow,FAIA,American Institute of Architects,
"Architecture, interior design, landscape architecture and planning",American Society of Interior Designers Member,ASID,American Society of Interior Designers,
"Architecture, interior design, landscape architecture and planning",American Society of Interior Designers Fellow,FASID,American Society of Interior Designers,
"Architecture, interior design, landscape architecture and planning",Council of Educators in Landscape Architecture Member,CELA,Council of Educators in Landscape Architecture,
"Architecture, interior design, landscape architecture and planning",Council of Educators in Landscape Architecture Fellow,FCELA,Council of Educators in Landscape Architecture,
"Architecture, interior design, landscape architecture and planning",American Society of Landscape Architects Member,ASLA,American Society of Landscape Architects,
"Architecture, interior design, landscape architecture and planning",American Society of Landscape Architects Fellow,FASLA,American Society of Landscape Architects,
"Architecture, interior design, landscape architecture and planning",American Institute of Certified Planners Member,AICP,American Institute of Certified Planners,
"Architecture, interior design, landscape architecture and planning",American Institute of Certified Planners Fellow,FAICP,American Institute of Certified Planners,
"Architecture, interior design, landscape architecture and planning",Leadership in Energy and Environmental Design Accredited Professional,LEED AP,U.S. Green Building Council,
"Architecture, interior design, landscape architecture and planning",Leadership in Energy and Environmental Design Green Associate,LEED GA,U.S. Green Building Council,
"Architecture, interior design, landscape architecture and planning",Construction Specification Institute Member,CSI,Construction Specifications Institute,
"Architecture, interior design, landscape architecture and planning",Construction Document Technologist,CDT,Construction Specifications Institute,
"Architecture, interior design, landscape architecture and planning",Certified Construction Contract Administrator,CCCA,Construction Specifications Institute,
"Architecture, interior design, landscape architecture and planning",Certified Construction Specifier,CCS,Construction Specifications Institute,
"Architecture, interior design, landscape architecture and planning",Certified Construction Product Representative,CCPR,Construction Specifications Institute,
"Association, credentialing, and not-for-profit management",Certified Association Executive,CAE,,
"Association, credentialing, and not-for-profit management",Advanced Certification Administrator,ACA,,
"Association, credentialing, and not-for-profit management",Basic Certification Administrator,BCA,,
"Association, credentialing, and not-for-profit management",Certified Fundraising Executive,CFRE,,
"Association, credentialing, and not-for-profit management",Advanced Certified Nonprofit Professional[11],ACNP,,
"Association, credentialing, and not-for-profit management",Certified Nonprofit Professional[12],CNP,,
Broadcast engineering,Certified Radio Operator,CRO,,
Broadcast engineering,Certified Television Operator,CTO,,
Broadcast engineering,Certified Broadcast Networking Technologist,CBNT,,
Broadcast engineering,Certified Broadcast Technologist,CBT,,
Broadcast engineering,Certified Audio Engineer,CEA,,
Broadcast engineering,Certified Broadcast Television Engineer,CBTE,,
Broadcast engineering,Certified Broadcast Networking Engineer,CBNE,,
Broadcast engineering,Certified Senior Broadcast Radio Engineer,CSRE,,
Broadcast engineering,Certified Senior Broadcast Television Engineer,CSTE,,
Broadcast engineering,Certified Professional Broadcast Engineer,CPBE,,
Broadcast engineering,Certified 8-VSB Specialist,8-VSB,,
Broadcast engineering,Certified AM Directional Specialist,AMD,,
Broadcast engineering,Certified Digital Radio Broadcast Specialist,DRB,,
Broadcast engineering,Certified Senior Broadcast Engineer,CSBE,,
Broadcast engineering,Certified Radio and Television Broadcast Engineer,CBRTE,,
Broadcast engineering,Certified Senior Radio and Television Broadcast Engineer,CSRTE,,
Communications,Accredited Business Communicator,ABC,International Association of Business Communicators[13],
Communications,Accreditation in Public Relations,APR,Public Relations Society of America[14],
Communications,Accreditation in Public Relations and Military Communication,APR+M,,
Communications,Certified Cooperative Communicator,CCC,National Rural Electric Cooperative Association[15],
Communications,Certified Speaking Professional,CSP,National Speakers Association[16],
Communications,Communication Management Professional,CMP,Global Communication Certification Council[17],
Communications,Strategic Communication Management Professional,SCMP,,
Contract management,Certified Commercial Contract Manager,CCCM,National Contract Management Association,N/A
Contract management,Contract and Commercial Management Certification,CCM,International Association for Contract and Commercial Management,"Associate, Practitioner, and Expert"
Contract management,Certified Federal Contract Manager,CFCM,National Contract Management Association,N/A
Contract management,Certified Professional Contract Manager,CPCM,National Contract Management Association,N/A
Contract management,Defense Acquisition Workforce Improvement Act Contracting Certification,DAWIA Contracting Certification,Defense Acquisition University,"I, II, and III"
Contract management,Federal Acquisition Certification in Contracting,FAC-C,Federal Acquisition Institute,"I, II, and III"
Contract management,Industry Certification in Contract Management - Defense,ICCM-D,National Contract Management Association,"I, II, and III"
Contract management,Industry Certification in Contract Management - Federal,ICCM-F,National Contract Management Association,"I, II, and III"
Economics,Member of the International Association for Energy Economics,IAEE,,
Economics,Member of the Global Association of Economics Education,GAEE[18],,
Emergency management and public safety,Certified Emergency Manager,CEM,International Association of Emergency Managers,
Emergency management and public safety,Associate Emergency Manager,AEM,International Association of Emergency Managers,
Emergency management and public safety,Certified Floodplain Manager,CFM,Association of State Floodplain Managers[19],
Emergency management and public safety,Chief Fire Officer,CFO,Center for Public Safety Excellence (CPSE) [20],
Emergency management and public safety,Fellow of the Academy of Emergency Management,FAcEM,Emergency Management Academy[21],
Emergency management and public safety,Executive Fire Officer,EFO,U.S. Fire Administration[22],
Emergency management and public safety,Emergency Number Professional,ENP,National Emergency Number Association,
Emergency management and public safety,Master Exercise Practitioner,MEP,"Federal Emergency Management Agency, Master",
Emergency management and public safety,Registered Public Safety Leader,RPSL,Association of Public-Safety Communications Officials-International,
Emergency management and public safety,Certified Fire Executive,CFE,Texas Fire Chiefs Association[23],
Emergency management and public safety,National Crime Prevention Specialist,NCPS,National Crime Prevention Association,
Emergency management and public safety,Fire Marshal,FM,Center for Public Safety Excellence (CPSE)[24],
Emergency management and public safety,Chief EMS Officer,CEMSO,Center for Public Safety Excellence (CPSE)[25],
Emergency management and public safety,Chief Training Officer,CTO,Center for Public Safety Excellence (CPSE)[26],
Emergency management and public safety,Fire Officer,FO,Center for Public Safety Excellence (CPSE)[27],
Emergency management and public safety,Certified Homeland Protection Professional,CHPP,National Sheriffs' Association[28],
Engineering,Certified Energy Manager,CEM,Certified by Association of Energy Engineers (AEE),
Engineering,Professional Engineer,PE,"Licensure by individual state boards, examination by National Council of Examiners for Engineering and Surveying",
Engineering,Certified Sales Engineer,CSE,Certified by the North American Association of Sales Engineers (NAASE),
Engineering,Master of Engineering Management,MEM,Professional engineering business degree comparable to an MBA.,
Engineering,Model Law Engineer,MLE,Designation bestowed by National Council of Examiners for Engineering and Surveying,
Engineering,Model Law Structural Engineer,MLSE,Designation bestowed by National Council of Examiners for Engineering and Surveying,
Engineering,Structural Engineer,SE,"Licensure by individual state boards, examination by National Council of Examiners for Engineering and Surveying[29]",
Engineering,Structural Engineering Certification Board,SECB,Designation bestowed by Structural Engineering Certification Board,
